TICKER,HOLDERS,TOP HOLDER,Total Held,FREE FLOAT
BEER,6,PT. MAJU MINUMAN MINAHASA,96.2%,11.75% ⚠️
ALKA,5,GESIT PERKASA,93.1%,11.78% ⚠️
LMPI,8,HIDAYAT ALIM,96.9%,11.79% ⚠️
ABMM,4,PT TIARA MARGA TRAKINDO,88.2%,11.81% ⚠️
RLCO,9,REALCO OMEGA INVESTAMA PT,95.3%,11.84% ⚠️
BIKE,11,HENRY MULYADI,91.8%,11.88% ⚠️
KINO,7,PT. KINO INVESTINDO,97.0%,11.94% ⚠️
WMPP,8,TUMIYANA,91.6%,11.97% ⚠️
BUAH,12,HENDRO SUSILO,95.1%,11.98% ⚠️
MSTI,7,JUPRI WIJAYA,90.5%,11.98% ⚠️
RAAM,8,RAM JETHMAL PUNJABI,90.2%,12.00% ⚠️
SURI,3,HANSEN JAP,89.4%,12.00% ⚠️
IRRA,4,PT GLOBAL DINAMIKA KENCANA,87.9%,12.07% ⚠️
BVIC,8,PT. Victoria Investama Tbk,91.0%,12.13% ⚠️
TBMS,7,The Furukawa Electric Co.Ltd.,91.7%,12.14% ⚠️
ADMR,3,ALAMTRI RESOURCES INDONESIA TBK PT,87.8%,12.18% ⚠️
ADMG,6,PROVESTMENT LIMITED,90.5%,12.19% ⚠️
ASRM,9,SYAHRIL,88.8%,12.26% ⚠️
BIMA,3,GOLDEN LESTARI PT,90.3%,12.30% ⚠️
PSGO,7,PT JALINANKASIH SESAMA,98.8%,12.31% ⚠️
IPCM,4,PT PELINDO JASA MARITIM,92.8%,12.33% ⚠️
ALDO,13,PT.GOLDEN ARISTA INTERNATIONAL,95.8%,12.43% ⚠️
BOBA,12,HENGKY WIJAYA,96.5%,12.44% ⚠️
POWR,7,PT. UDINDA WAHANATAMA,90.9%,12.44% ⚠️
DWGL,14,HAWTHORN-CAPITAL INVESTMENT PTE. LTD.,97.7%,12.56% ⚠️
BLOG,6,PT SIGMANTARA ALFINDO,90.3%,12.63% ⚠️
PNBN,6,PT. PANIN FINANCIAL Tbk,88.4%,12.64% ⚠️
HALO,5,HANSEN JAP,89.5%,12.67% ⚠️
VTNY,9,"CARTA HOLDINGS Co., Ltd.",87.2%,12.82% ⚠️
AVIA,8,PT TANCORP SURYA SENTOSA,87.0%,12.96% ⚠️
TFAS,7,PT. KRESNA ASSET MANAGEMENT S/A PT. M CASH INTEGRASI TBK,87.0%,13.03% ⚠️
MIKA,9,PT GRIYA INSANI CAKRA SADAYA,86.9%,13.10% ⚠️
PSDN,7,PT PRASIDHA,91.5%,13.11% ⚠️
AGRO,2,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",89.3%,13.15% ⚠️
SDPC,6,PHARMANIAGA INTERNATIONAL CORPORATION SDN.BHD,91.2%,13.16% ⚠️
SMKL,5,PT. SATYAMITRA INVESTINDO PRATAMA,90.0%,13.16% ⚠️
INPS,3,PT. SURYA PERKASA SENTOSA,88.1%,13.29% ⚠️
PEVE,4,TANCORP MEGA BUANA PT,88.1%,13.47% ⚠️
UCID,8,UNICHARM CORPORATION,89.5%,13.49% ⚠️
BABP,4,PT MNC KAPITAL INDONESIA TBK,86.3%,13.66% ⚠️
SIMP,5,INDOFOOD AGRI RESOURCES LTD.,87.8%,13.77% ⚠️
BATA,3,BAFIN (NEDERLAND) B.V.,91.5%,13.81% ⚠️
AMFG,5,AGC Inc.,91.3%,13.84% ⚠️
EKAD,5,PT. EKADHARMA INTI PERKASA,93.1%,13.86% ⚠️
PBID,5,PT ALPHEN INTERNASIONAL CORPORINDO,87.8%,13.87% ⚠️
KDTN,6,PUTRASAKTI MANDIRI PT,90.8%,13.88% ⚠️
HERO,6,MULGRAVE CORPORATION B.V.,96.7%,13.91% ⚠️
MBMA,14,"MERDEKA ENERGI NUSANTARA, PT",88.4%,13.93% ⚠️
KKGI,8,ENERGY COLLIER PRIVATE LIMITED,87.9%,13.95% ⚠️
AUTO,3,PT ASTRA INTERNATIONAL TBK,86.0%,14.01% ⚠️
ACRO,4,TAE SUNG CHUNG,89.7%,14.06% ⚠️
MAYA,11,MAYAPADA KARUNIA PT,94.5%,14.06% ⚠️
BISI,14,AGRINDO PRATAMA,87.3%,14.14% ⚠️
MYOR,6,UNITA BRANINDO,88.3%,14.15% ⚠️
GWSA,7,PRIMA PERMATA SEJAHTERA,93.0%,14.32% ⚠️
DATA,4,VERAH WAHYUDI S WONG,86.7%,14.46% ⚠️
FORE,8,FORE HOLDINGS PTE. LTD.,95.6%,14.48% ⚠️
